fanta_role,name,team_code,team_name,value,elo,starter_prob,exp_matches,exp_weighted_matches,base_voto,per_match_pts,etp,mod_proxy,etp_obj,etp_per_credit
st,Kane,ING,England,33,2020,0.92,5.84,5.03,6.483,9.385,43.4,0.0,43.4,1.315
cb,Llorente M.,SPA,Spain,9,2165,0.92,7.1,5.64,6.6,6.664,34.56,6.22,40.79,4.532
st,Oyarzabal,SPA,Spain,19,2165,0.92,7.1,5.64,6.6,7.855,40.74,0.0,40.74,2.144
gk,Simon,SPA,Spain,17,2165,0.92,7.1,5.64,6.4,6.56,34.03,6.22,40.25,2.368
cb,Cubarsi,SPA,Spain,20,2165,0.92,7.1,5.64,6.6,6.507,33.75,6.22,39.97,1.999
cb,Cucurella,SPA,Spain,11,2165,0.92,7.1,5.64,6.6,6.507,33.75,6.22,39.97,3.634
st,Olise,FRA,France,29,2081,0.92,6.51,5.38,6.532,7.95,39.38,0.0,39.38,1.358
st,Alvarez J.,ARG,Argentina,33,2113,0.92,6.79,5.48,6.558,7.683,38.75,0.0,38.75,1.174
cb,Romero,ARG,Argentina,17,2113,0.92,6.79,5.48,6.558,6.554,33.06,5.63,38.68,2.276
st,Messi,ARG,Argentina,35,2113,0.92,6.79,5.48,6.558,7.599,38.33,0.0,38.33,1.095
cb,Molina,ARG,Argentina,14,2113,0.92,6.79,5.48,6.558,6.459,32.58,5.63,38.21,2.729
st,Mbappe,FRA,France,37,2081,0.874,6.51,5.38,6.532,8.108,38.16,0.0,38.16,1.031
gk,Martinez E.,ARG,Argentina,16,2113,0.92,6.79,5.48,6.372,6.409,32.33,5.63,37.96,2.372
cb,Kounde,FRA,France,19,2081,0.92,6.51,5.38,6.532,6.544,32.41,5.27,37.69,1.983
cb,Saliba,FRA,France,23,2081,0.92,6.51,5.38,6.532,6.439,31.89,5.27,37.17,1.616
gk,Maignan,FRA,France,13,2081,0.92,6.51,5.38,6.355,6.317,31.29,5.27,36.56,2.812
