team_code,team_name,elo,exp_matches,exp_weighted_matches
SPA,Spain,2165,7.101,5.638
ARG,Argentina,2113,6.791,5.482
FRA,France,2081,6.508,5.384
ING,England,2020,5.836,5.026
POR,Portugal,1984,5.399,4.806
OLA,Netherlands,1961,5.368,4.777
BRA,Brazil,1988,5.353,4.755
COL,Colombia,1977,5.297,4.746
SVI,Switzerland,1894,5.151,4.691
TUR,Turkey,1906,5.124,4.652
ECU,Ecuador,1935,5.119,4.646
GER,Germany,1925,5.047,4.602
MEX,Mexico,1868,4.986,4.582
BEL,Belgium,1866,4.934,4.545
JAP,Japan,1906,4.862,4.467
CRO,Croatia,1930,4.842,4.459
NOR,Norway,1917,4.803,4.417
CAN,Canada,1793,4.674,4.377
PAR,Paraguay,1833,4.452,4.183
SEN,Senegal,1866,4.386,4.131
KOR,South Korea,1756,4.299,4.099
URU,Uruguay,1892,4.294,4.089
IRN,Iran,1764,4.287,4.086
MAR,Morocco,1822,4.281,4.079
RCE,Czech Republic,1733,4.153,3.987
SCO,Scotland,1770,3.986,3.857
AUT,Austria,1830,3.978,3.846
AUS,Australia,1775,3.905,3.76
EGY,Egypt,1699,3.864,3.748
CIV,Ivory Coast,1676,3.822,3.716
PAN,Panama,1733,3.815,3.709
BOS,Bosnia and Herzegovina,1591,3.628,3.556
SVE,Sweden,1714,3.604,3.523
ALG,Algeria,1743,3.597,3.519
USA,United States,1733,3.551,3.472
UZB,Uzbekistan,1718,3.445,3.39
GRD,Jordan,1685,3.301,3.265
NZL,New Zealand,1585,3.202,3.179
CPV,Cape Verde,1576,3.201,3.18
SAU,Saudi Arabia,1566,3.182,3.162
COD,DR Congo,1655,3.177,3.157
TUN,Tunisia,1633,3.177,3.156
QAT,Qatar,1423,3.062,3.056
SAF,South Africa,1517,3.061,3.054
HAI,Haiti,1532,3.028,3.025
GHA,Ghana,1503,3.027,3.024
CUW,Curacao,1433,3.021,3.019
IRQ,Iraq,1608,3.02,3.018
