fanta_role,name,team_name,value,club_goals_current_season,national_goals_current_season,national_appearances_current_season,national_team_matches_current_season,national_presence_ratio_current_season,transfermarkt_player_url,transfermarkt_match_status
gk,Simon,SPA,17,,,,,,,skipped_role
gk,Martinez E.,ARG,16,,,,,,,skipped_role
gk,Neuer,GER,15,,,,,,,skipped_role
gk,Alisson,BRA,14,,,,,,,skipped_role
gk,Diogo Costa,POR,14,,,,,,,skipped_role
gk,Maignan,FRA,13,,,,,,,skipped_role
gk,Courtois,BEL,12,,,,,,,skipped_role
gk,Verbruggen,OLA,12,,,,,,,skipped_role
gk,Kobel,SVI,11,,,,,,,skipped_role
gk,Pickford,ING,11,,,,,,,skipped_role
gk,Nyland,NOR,10,,,,,,,skipped_role
gk,Mendy E.,SEN,9,,,,,,,skipped_role
gk,Freese,USA,8,,,,,,,skipped_role
gk,Roefs,OLA,8,,,,,,,skipped_role
gk,Gill,PAR,7,,,,,,,skipped_role
gk,Livakovic,CRO,7,,,,,,,skipped_role
gk,Williams,SAF,7,,,,,,,skipped_role
gk,Ederson,BRA,6,,,,,,,skipped_role
gk,Gunn,SCO,6,,,,,,,skipped_role
gk,Kovar,RCE,6,,,,,,,skipped_role
gk,Muslera,URU,6,,,,,,,skipped_role
gk,Schlager A.,AUT,6,,,,,,,skipped_role
gk,Suzuki,JAP,6,,,,,,,skipped_role
gk,Al-Aqidi,SAU,5,,,,,,,skipped_role
gk,Johansson,SVE,5,,,,,,,skipped_role
gk,Montero,COL,5,,,,,,,skipped_role
gk,Rangel,MEX,5,,,,,,,skipped_role
gk,Ryan,AUS,5,,,,,,,skipped_role
gk,Seung-Gyu Kim,KOR,5,,,,,,,skipped_role
gk,Alban Lafont,CIV,4,,,,,,,skipped_role
gk,Beiranvand,IRN,4,,,,,,,skipped_role
gk,Bounou,MAR,4,,,,,,,skipped_role
gk,Cakir,TUR,4,,,,,,,skipped_role
gk,El Shenawy,EGY,4,,,,,,,skipped_role
gk,Galindez,ECU,4,,,,,,,skipped_role
gk,Rochet,URU,4,,,,,,,skipped_role
gk,Vasilj,BOS,4,,,,,,,skipped_role
gk,Asare,GHA,3,,,,,,,skipped_role
gk,Baumann,GER,3,,,,,,,skipped_role
gk,Bayindir,TUR,3,,,,,,,skipped_role
gk,Crepeau,CAN,3,,,,,,,skipped_role
gk,Dahmen,TUN,3,,,,,,,skipped_role
gk,Mpasi-Nzau,COD,3,,,,,,,skipped_role
gk,Raya,SPA,3,,,,,,,skipped_role
gk,St. Clair,CAN,3,,,,,,,skipped_role
gk,Trafford,ING,3,,,,,,,skipped_role
gk,Vozinha,CPV,3,,,,,,,skipped_role
gk,Zidane,ALG,3,,,,,,,skipped_role
gk,Fofana,CIV,2,,,,,,,skipped_role
gk,Henderson D.,ING,2,,,,,,,skipped_role
gk,Shobeir,EGY,2,,,,,,,skipped_role
gk,Zigi,GHA,2,,,,,,,skipped_role
gk,Abulaila,GRD,1,,,,,,,skipped_role
gk,Abunada,QAT,1,,,,,,,skipped_role
gk,Acevedo,MEX,1,,,,,,,skipped_role
gk,Al-Fakhouri,GRD,1,,,,,,,skipped_role
gk,Al-Kassar,SAU,1,,,,,,,skipped_role
gk,Al-Owais,SAU,1,,,,,,,skipped_role
gk,Alaa M.,EGY,1,,,,,,,skipped_role
gk,Anang,GHA,1,,,,,,,skipped_role
gk,Bani Attiah,GRD,1,,,,,,,skipped_role
gk,Barsham,QAT,1,,,,,,,skipped_role
gk,Beach,AUS,1,,,,,,,skipped_role
gk,Ben Hessen,TUN,1,,,,,,,skipped_role
gk,Benbout,ALG,1,,,,,,,skipped_role
gk,Bodak,CUW,1,,,,,,,skipped_role
gk,Boom-Keun Song,KOR,1,,,,,,,skipped_role
gk,Brady,USA,1,,,,,,,skipped_role
gk,CJ Dos Santos,CPV,1,,,,,,,skipped_role
gk,Camilo Vargas,COL,1,,,,,,,skipped_role
gk,Chaine,SAF,1,,,,,,,skipped_role
gk,Chamakh,TUN,1,,,,,,,skipped_role
gk,Crocombe,NZL,1,,,,,,,skipped_role
