fanta_role,name,team_code,team_name,value,elo,starter_prob,exp_matches,exp_weighted_matches,base_voto,per_match_pts,etp,etp_obj,_xi
gk,Maignan,FRA,France,13,2081,0.92,6.51,5.38,6.355,6.317,31.29,36.56,True
gk,Risser,FRA,France,1,2081,0.12,6.51,5.38,6.355,6.317,4.08,4.77,False
gk,Samba,FRA,France,1,2081,0.03,6.51,5.38,6.355,6.317,1.02,1.19,False
cb,Llorente M.,SPA,Spain,9,2165,0.92,7.1,5.64,6.6,6.664,34.56,40.79,True
cb,Cucurella,SPA,Spain,11,2165,0.92,7.1,5.64,6.6,6.507,33.75,39.97,True
cb,Molina,ARG,Argentina,14,2113,0.92,6.79,5.48,6.558,6.459,32.58,38.21,True
cb,Romero,ARG,Argentina,17,2113,0.92,6.79,5.48,6.558,6.354,32.05,37.68,True
cb,Otamendi,ARG,Argentina,6,2113,0.78,6.79,5.48,6.558,6.597,28.21,32.98,False
cb,Gallardo,MEX,Mexico,2,1868,0.891,4.99,4.58,6.36,6.487,26.48,29.42,False
cb,Caleta-car,CRO,Croatia,3,1930,0.92,4.84,4.46,6.41,6.317,25.91,29.28,False
cb,Pongracic,CRO,Croatia,3,1930,0.92,4.84,4.46,6.41,6.288,25.79,29.16,False
m,Enzo Fernandez,ARG,Argentina,23,2113,0.92,6.79,5.48,6.558,7.054,35.58,35.58,True
m,Raphinha,BRA,Brazil,34,1988,0.92,5.35,4.76,6.457,7.85,34.34,34.34,True
m,Arias J.,COL,Colombia,6,1977,0.92,5.3,4.75,6.448,7.217,31.51,31.51,True
m,Lira,MEX,Mexico,3,1868,0.92,4.99,4.58,6.36,6.306,26.58,26.58,False
m,Alvarez E.,MEX,Mexico,4,1868,0.88,4.99,4.58,6.36,6.522,26.3,26.3,False
m,Fidalgo,MEX,Mexico,3,1868,0.86,4.99,4.58,6.36,6.33,24.94,24.94,False
m,Modric,CRO,Croatia,2,1930,0.828,4.84,4.46,6.41,6.684,24.68,24.68,False
m,James Rodriguez,COL,Colombia,1,1977,0.722,5.3,4.75,6.448,6.772,23.22,23.22,False
st,Kane,ING,England,33,2020,0.92,5.84,5.03,6.483,9.385,43.4,43.4,True
st,Oyarzabal,SPA,Spain,19,2165,0.92,7.1,5.64,6.6,7.976,41.37,41.37,True
st,Mbappe,FRA,France,37,2081,0.874,6.51,5.38,6.532,8.757,41.21,41.21,True
st,Jimenez,MEX,Mexico,1,1868,0.85,4.99,4.58,6.36,7.406,28.85,28.85,False
st,Ueda,JAP,Japan,3,1906,0.85,4.86,4.47,6.391,7.589,28.81,28.81,False
st,Arevalo,ECU,Ecuador,1,1935,0.88,5.12,4.65,6.414,6.797,27.79,27.79,False
