fanta_role,name,team_code,team_name,value,elo,starter_prob,exp_matches,exp_weighted_matches,base_voto,per_match_pts,etp,etp_obj,_xi
gk,Simon,SPA,Spain,17,2165,0.92,7.1,5.64,6.4,6.56,34.03,40.25,True
gk,Montero,COL,Colombia,5,1977,0.92,5.3,4.75,6.299,6.015,26.26,30.17,False
gk,Galindez,ECU,Ecuador,4,1935,0.92,5.12,4.65,6.276,5.894,25.19,28.73,False
cb,Grimaldo,SPA,Spain,12,2165,0.84,7.1,5.64,6.6,7.09,33.58,39.26,True
cb,Cubarsi,SPA,Spain,20,2165,0.88,7.1,5.64,6.6,6.507,32.28,38.23,True
cb,Porro,SPA,Spain,14,2165,0.86,7.1,5.64,6.6,6.559,31.8,37.62,True
cb,Cucurella,SPA,Spain,11,2165,0.82,7.1,5.64,6.6,6.507,30.08,35.63,True
cb,Gallardo,MEX,Mexico,2,1868,0.891,4.99,4.58,6.36,6.487,26.48,29.42,False
cb,Ditta,COL,Colombia,2,1977,0.82,5.3,4.75,6.448,6.302,24.52,28.01,False
cb,Eiri,IRN,Iran,1,1764,0.88,4.29,4.09,6.276,6.13,22.04,24.03,False
cb,Hajsafi,IRN,Iran,1,1764,0.86,4.29,4.09,6.276,6.201,21.79,23.73,False
m,Mac Allister,ARG,Argentina,21,2113,0.894,6.79,5.48,6.558,6.912,33.88,33.88,True
m,Barcola,FRA,France,30,2081,0.88,6.51,5.38,6.532,7.136,33.81,33.81,True
m,Doué,FRA,France,25,2081,0.86,6.51,5.38,6.532,7.136,33.05,33.05,True
m,Lira,MEX,Mexico,3,1868,0.92,4.99,4.58,6.36,6.306,26.58,26.58,False
m,Fidalgo,MEX,Mexico,3,1868,0.86,4.99,4.58,6.36,6.33,24.94,24.94,False
m,Ghayedi,IRN,Iran,2,1764,0.88,4.29,4.09,6.276,6.513,23.42,23.42,False
m,James Rodriguez,COL,Colombia,1,1977,0.722,5.3,4.75,6.448,6.772,23.22,23.22,False
m,Cheshmi,IRN,Iran,1,1764,0.84,4.29,4.09,6.276,6.356,21.82,21.82,False
st,Kane,ING,England,33,2020,0.88,5.84,5.03,6.483,9.385,41.51,41.51,True
st,Oyarzabal,SPA,Spain,19,2165,0.85,7.1,5.64,6.6,7.855,37.64,37.64,True
st,Ferran Torres,SPA,Spain,20,2165,0.84,7.1,5.64,6.6,7.446,35.26,35.26,True
st,Jimenez,MEX,Mexico,1,1868,0.85,4.99,4.58,6.36,7.406,28.85,28.85,False
st,Arevalo,ECU,Ecuador,1,1935,0.88,5.12,4.65,6.414,6.797,27.79,27.79,False
st,Jordy Caicedo,ECU,Ecuador,1,1935,0.84,5.12,4.65,6.414,6.91,26.97,26.97,False
