name,team_name,fanta_role,status
Timber J.,OLA,cb,unmatched_fuzzy_40
Ordonez,ECU,cb,ambiguous_alias
Al-Rosan,GRD,cb,unmatched_fuzzy_72
Al-Tambakti,SAU,cb,unmatched_fuzzy_76
Cordoba,PAN,cb,ambiguous_alias
Davis,PAN,cb,ambiguous_alias
Fernandes P.,CPV,cb,unmatched_fuzzy_69
Pico,CPV,cb,unmatched_fuzzy_36
Tae-Hwan KIM,KOR,cb,unmatched_fuzzy_80
Ulmasaiev,UZB,cb,unmatched_fuzzy_66
Sano,JAP,m,ambiguous_alias
Alvarez E.,MEX,m,ambiguous_alias
Castillo,ECU,m,ambiguous_alias
Mohebi,IRN,m,ambiguous_alias
Pina K.,CPV,m,unmatched_fuzzy_33
Dargahi,IRN,st,unmatched_fuzzy_52
Karim,EGY,st,unmatched_fuzzy_47
